iter	RMSE
0	4052.601446
1	3725.796065
2	3436.102749
3	3174.833611
4	2941.168785
5	2729.981388
6	2549.351382
7	2393.556933
8	2255.68847
9	2130.728667
10	2015.960496
11	1911.798606
12	1818.710882
13	1739.415196
14	1664.85314
15	1597.27806
16	1540.293283
17	1480.010088
18	1426.802493
19	1383.461122
20	1341.363211
21	1299.485857
22	1261.86676
23	1218.17086
24	1178.875616
25	1148.959768
26	1108.9528
27	1072.94967
28	1043.46254
29	1014.049058
30	987.6424132
31	961.8286454
32	935.3400202
33	908.3550642
34	883.6947338
35	862.6321946
36	842.5263373
37	818.3255979
38	801.4171044
39	780.7963512
40	759.08261
41	742.9296317
42	727.2665463
43	710.5683786
44	695.5107457
45	681.2903868
46	664.2833888
47	648.2950738
48	636.5513681
49	624.7634877
50	610.0385207
51	596.81627
52	586.5192174
53	575.3125418
54	564.5668272
55	553.32446
56	543.9255921
57	532.7931097
58	524.4272627
59	515.3062487
60	504.3570073
61	496.1397279
62	485.6925726
63	477.532136
64	470.9478427
65	463.8398219
66	456.8294644
67	450.37192
68	442.2227701
69	435.8102272
70	429.9398095
71	422.7385723
72	417.9772584
73	412.7458041
74	407.7648352
75	403.1770137
76	399.3405621
77	393.5667027
78	388.0692987
79	383.1278052
80	379.2127437
81	375.8680405
82	371.7462721
83	368.3311849
84	365.4153982
85	362.4493168
86	359.7553313
87	356.1712167
88	353.1653567
89	349.8836182
90	347.3918742
91	344.2673688
92	342.3903594
93	340.0941655
94	338.2100796
95	335.4632723
96	333.8139363
97	332.0628089
98	329.9306985
99	328.2266588
