iter	Passed	Remaining
0	3	343
1	6	336
2	10	331
3	14	338
4	17	332
5	21	330
6	24	324
7	27	318
8	30	312
9	34	307
10	37	302
11	41	301
12	45	304
13	48	299
14	51	294
15	55	293
16	59	292
17	63	288
18	66	283
19	69	279
20	73	276
21	76	272
22	80	270
23	84	266
24	87	262
25	95	270
26	98	266
27	102	262
28	105	258
29	109	254
30	112	250
31	115	246
32	119	242
33	122	238
34	126	234
35	129	230
36	132	226
37	136	221
38	139	217
39	143	214
40	146	211
41	149	207
42	153	203
43	156	199
44	160	195
45	163	191
46	166	187
47	169	184
48	173	180
49	176	176
50	180	173
51	183	169
52	186	165
53	190	161
54	193	158
55	197	154
56	200	151
57	203	147
58	207	144
59	210	140
60	214	136
61	217	133
62	221	129
63	224	126
64	227	122
65	231	119
66	234	115
67	238	112
68	241	108
69	245	105
70	248	101
71	252	98
72	255	94
73	259	91
74	262	87
75	266	84
76	269	80
77	273	77
78	276	73
79	279	69
80	283	66
81	286	62
82	290	59
83	293	55
84	297	52
85	300	48
86	303	45
87	307	41
88	310	38
89	314	34
90	317	31
91	320	27
92	324	24
93	327	20
94	331	17
95	334	13
96	337	10
97	341	6
98	345	3
99	348	0
